country,freedom,gdp_per_capita,generosity,happiness_rank,happiness_score,healthy_life_expectancy,social_support,trust_government_corruption,year,continent,gdp_support
Gambia,0.382,0.308,0.269,120,4.516,0.428,0.939,0.167,2019,Other,0.28921199999999997
Kenya,0.431,0.512,0.372,121,4.509,0.581,0.983,0.053,2019,Africa,0.503296
Mauritania,0.066,0.57,0.106,122,4.49,0.489,1.167,0.088,2019,Africa,0.66519
Mozambique,0.494,0.204,0.197,123,4.466,0.39,0.986,0.138,2019,Africa,0.201144
Tunisia,0.167,0.921,0.059,124,4.461,0.815,1.0,0.055,2019,Africa,0.921
Bangladesh,0.527,0.562,0.166,125,4.456,0.723,0.928,0.143,2019,Asia,0.5215360000000001
Iraq,0.241,1.043,0.148,126,4.437,0.574,0.98,0.089,2019,Asia,1.0221399999999998
Congo (Kinshasa),0.269,0.094,0.212,127,4.418,0.357,1.125,0.053,2019,Africa,0.10575
Mali,0.327,0.385,0.153,128,4.39,0.308,1.105,0.052,2019,Africa,0.425425
Sierra Leone,0.309,0.268,0.252,129,4.374,0.242,0.841,0.045,2019,Africa,0.225388
Sri Lanka,0.47,0.949,0.244,130,4.366,0.831,1.265,0.047,2019,Asia,1.2004849999999998
Myanmar,0.525,0.71,0.566,131,4.36,0.555,1.181,0.172,2019,Asia,0.83851
Chad,0.174,0.35,0.198,132,4.35,0.192,0.766,0.078,2019,Africa,0.2681
Ukraine,0.178,0.82,0.187,133,4.332,0.739,1.39,0.01,2019,Europe,1.1398
Ethiopia,0.344,0.336,0.209,134,4.286,0.532,1.033,0.1,2019,Africa,0.347088
Swaziland,0.313,0.811,0.074,135,4.212,0.0,1.149,0.135,2019,Africa,0.9318390000000001
Uganda,0.356,0.332,0.252,136,4.189,0.443,1.069,0.06,2019,Africa,0.354908
Egypt,0.241,0.913,0.076,137,4.166,0.644,1.039,0.067,2019,Africa,0.948607
Zambia,0.431,0.578,0.247,138,4.107,0.426,1.058,0.087,2019,Africa,0.611524
Togo,0.293,0.275,0.177,139,4.085,0.41,0.572,0.085,2019,Africa,0.1573
India,0.498,0.755,0.2,140,4.015,0.588,0.765,0.085,2019,Asia,0.5775750000000001
Liberia,0.37,0.073,0.233,141,3.975,0.443,0.922,0.033,2019,Africa,0.067306
Comoros,0.142,0.274,0.275,142,3.973,0.505,0.757,0.078,2019,Africa,0.20741800000000002
Madagascar,0.148,0.274,0.169,143,3.933,0.555,0.916,0.041,2019,Africa,0.25098400000000004
Lesotho,0.359,0.489,0.107,144,3.802,0.168,1.169,0.093,2019,Africa,0.571641
Burundi,0.22,0.046,0.176,145,3.775,0.38,0.447,0.18,2019,Africa,0.020562
Zimbabwe,0.361,0.366,0.151,146,3.663,0.433,1.114,0.089,2019,Africa,0.40772400000000003
Haiti,0.026,0.323,0.419,147,3.597,0.449,0.688,0.11,2019,America,0.22222399999999998
Botswana,0.455,1.041,0.025,148,3.488,0.538,1.145,0.1,2019,Other,1.191945
Syria,0.013,0.619,0.331,149,3.462,0.44,0.378,0.141,2019,Asia,0.233982
Malawi,0.443,0.191,0.218,150,3.41,0.495,0.56,0.089,2019,Other,0.10696000000000001
Yemen,0.143,0.287,0.108,151,3.38,0.463,1.163,0.077,2019,Other,0.333781
Rwanda,0.555,0.359,0.217,152,3.334,0.614,0.711,0.411,2019,Africa,0.255249
Tanzania,0.417,0.476,0.276,153,3.231,0.499,0.885,0.147,2019,Africa,0.42125999999999997
Afghanistan,0.0,0.35,0.158,154,3.203,0.361,0.517,0.025,2019,Asia,0.18095
Central African Republic,0.225,0.026,0.235,155,3.083,0.105,0.0,0.035,2019,Africa,0.0
South Sudan,0.01,0.306,0.202,156,2.853,0.295,0.575,0.091,2019,Africa,0.17595
